haltestellen_id,belastung_x,linien_id,linienname,plan_fahrt_id,belastung_y,einsteiger,aussteiger,besetzung,traffic_total,anzahl_messungen,haltestellenlangname,distanz_m,halt_lin_kurz,halt_lin_lang,zonen,vsys,linienname_fahrgastauskunft,koord_wgs84_n,koord_wgs84_e,Quartier
303,1.358939753215983,67,303,42983,0.3400178694158076,8.179720826873384,7.456993901808786,16.320857731958764,15.63671472868217,12245,"Dietikon, Bahnhof",526.8578811369509,303-303,"Dietikon, Bahnhof Linie 303",154.0,BL,303,8.404519127753561,47.40583602025578,Keine Zone
245,0.9981657302415694,21,5,114583,0.2385857068432776,8.170666039907905,7.441680153491941,19.802613667992045,15.612346193399846,10398,"Zürich, Bahnhof Enge",201.3123561013047,245-5,"Zürich, Bahnhof Enge Linie 5",110.0,T,5,8.531573894365497,47.36412756403759,Kongresshaus
165,1.4049164496310247,9,11,86619,0.3542678488785469,7.583982041884817,7.40733379290285,31.884106399069225,14.991315834787668,23912,"Zürich, Rennweg",365.0471204188482,165-11,"Zürich, Rennweg Linie 11",110.0,T,11,8.53827276237968,47.37310410482159,MÃ¼nsterhof
166,2.170415813325722,26,13,39477,0.3158322398989899,7.515597323863637,7.301776607954545,28.42490159090909,14.817373931818182,11200,"Zürich, Paradeplatz",380.6153409090909,166-13,"Zürich, Paradeplatz Linie 13",110.0,T,13,8.538904994765721,47.36973389876288,Paradeplatz
68,1.9805962592414055,27,14,80758,0.2436730332629356,8.486449237113403,7.262740798969072,21.930572993664203,15.749190036082474,25729,"Zürich, Sternen Oerlikon",418.3613402061856,68-14,"Zürich, Sternen Oerlikon Linie 14",110.0,T,14,8.546231030421062,47.41006990644386,Tramdepot
213,0.891469924113191,26,13,39477,0.3219868189277214,7.155863585118377,7.257912570462231,28.978813703494925,14.413776155580608,11302,"Zürich, Sihlquai/HB",401.0428410372041,213-13,"Zürich, Sihlquai/HB Linie 13",110.0,T,13,8.53760462520846,47.37987480303157,Berufsschulen
23,2.1352897975332508,9,11,86619,0.3192706333139422,8.586115456660849,7.191774648051193,28.7343569982548,15.777890104712045,23912,"Zürich, Bellevue",290.4397905759162,23-11,"Zürich, Bellevue Linie 11",110.0,T,11,8.54508653817144,47.367093234181496,Bellevue
23,2.1352897975332508,17,2,71915,0.2924750816957113,8.668069721913238,7.179335255839821,26.322757352614016,15.84740497775306,13106,"Zürich, Bellevue",276.06451612903226,23-2,"Zürich, Bellevue Linie 2",110.0,T,2,8.54508653817144,47.367093234181496,Bellevue
102,0.5722766696878389,27,14,81749,0.139002820027453,6.682788052155401,7.178580292708888,13.344270722635494,13.861368344864289,25012,"Zürich, Triemli",302.4821713677488,102-14,"Zürich, Triemli Linie 14",110.0,T,14,8.495349984312917,47.36806272308306,Schaufelbergerstrasse
76,1.7560994094754931,7,33,73035,0.4648527111787734,7.528730602870813,7.177912344497607,20.45351929186603,14.70664294736842,20963,"Zürich, Bahnhof Hardbrücke",390.0401913875598,76-33,"Zürich, Bahnhof Hardbrücke Linie 33",110.0,TR,33,8.517092875687204,47.38520430124577,Schlachthof
211,1.4844430486800801,26,13,39477,0.3539548759864712,7.013042824126268,7.149136414881623,31.85593883878241,14.16217923900789,11302,"Zürich, Limmatplatz",346.9549041713641,211-13,"Zürich, Limmatplatz Linie 13",110.0,T,13,8.531622912898953,47.384600012653074,Berufsschulen
245,0.9981657302415694,13,7,5224,0.4059844791847605,8.771822173489278,7.146754142300194,41.004432397660814,15.918576315789474,8639,"Zürich, Bahnhof Enge",323.2280701754386,245-7,"Zürich, Bahnhof Enge Linie 7",110.0,T,7,8.531573894365497,47.36412756403759,Kongresshaus
296,1.4450881158169215,65,330,37556,0.9455819270833334,3.12931,7.12931,45.387932500000005,10.25862,60,"Geroldswil, Dorfstrasse",440.25,296-330,"Geroldswil, Dorfstrasse Linie 330",154.0,BL,330,8.4131356356182,47.41984063039932,Keine Zone
116,1.988180190556385,40,701,7745,0.5286036836472603,8.400123843537415,7.01949806122449,16.91531787671233,15.419621904761906,11094,"Zürich, Klusplatz",1078.4931972789116,116-701,"Zürich, Klusplatz Linie 701",110.0,BG,701,8.56635100436572,47.36400909000458,Klus
166,2.170415813325722,9,11,86619,0.3528356865102449,6.183083403141361,6.970233374054683,31.755211785922047,13.153316777196045,23912,"Zürich, Paradeplatz",275.020942408377,166-11,"Zürich, Paradeplatz Linie 11",110.0,T,11,8.538904994765721,47.36973389876288,Paradeplatz
173,0.4553617079047386,9,11,86619,0.1395015129640352,6.679629357266937,6.968221922408801,12.555136166763171,13.647851279675738,24058,"Zürich, Balgrist",526.533294730747,173-11,"Zürich, Balgrist Linie 11",110.0,T,11,8.57500784293179,47.35461415739722,Rehalp
22,0.8674865379016061,11,4,90257,0.2779123619938344,6.562100987172337,6.963987345231455,25.29002494143893,13.526088332403791,30122,"Zürich, Opernhaus",257.49637479085334,22-4,"Zürich, Opernhaus Linie 4",110.0,T,4,8.547516327471179,47.36551376530868,Bellevue
22,0.8674865379016061,34,912,101982,0.1649948982785602,0.6091638028169014,6.960254037558686,7.919755117370892,7.569417840375587,2583,"Zürich, Opernhaus",183.0,22-912,"Zürich, Opernhaus Linie 912",110.0,BP,912,8.547516327471179,47.36551376530868,Bellevue
179,1.8069835755141257,10,9,83194,0.2658475447628471,7.306887752497225,6.914732114317426,22.065346215316318,14.22161986681465,15683,"Zürich, Stauffacher",315.60044395116535,179-9,"Zürich, Stauffacher Linie 9",110.0,T,9,8.529248604787151,47.3734235356202,Volkshaus
97,2.1163118267061676,12,72,8131,0.4586074769585254,6.519538186619719,6.867749410211268,20.17872898617512,13.387287596830989,24074,"Zürich, Albisriederplatz",482.256161971831,97-72,"Zürich, Albisriederplatz Linie 72",110.0,TR,72,8.510396300947964,47.37821447654032,Bullingerhof
168,2.0392224356226074,20,161,22603,0.3017546556473829,7.302462666666667,6.835550208333333,14.48422347107438,14.138012875,3134,"Zürich, Bürkliplatz",362.4958333333333,168-161,"Zürich, Bürkliplatz Linie 161",110.0,BZ,161,8.540772112735793,47.366540805683535,Stadthaus
284,0.6191704629844539,65,330,32587,0.0,0.0,6.82759,,6.82759,29,"Urdorf, Feldegg",0.0,284-330,"Urdorf, Feldegg Linie 330",154.0,BL,330,8.42789961862652,47.39202900054617,Keine Zone
68,1.9805962592414055,31,10,90081,0.2182806023675006,6.756058803212851,6.822347919678715,19.64525421307506,13.578406722891566,10674,"Zürich, Sternen Oerlikon",407.2449799196787,68-10,"Zürich, Sternen Oerlikon Linie 10",110.0,T,10,8.546231030421062,47.41006990644386,Tramdepot
189,1.7299441167741043,27,14,81749,0.2873018169546436,6.301674044276457,6.789922132829373,27.58097442764579,13.091596177105831,24673,"Zürich, Milchbuck",264.52645788336935,189-14,"Zürich, Milchbuck Linie 14",110.0,T,14,8.541762975424016,47.39778939873318,Irchel
213,0.891469924113191,11,4,90257,0.293462488147914,6.776138761061946,6.75422419800885,26.705086421460177,13.530362959070796,30215,"Zürich, Sihlquai/HB",402.2367256637168,213-4,"Zürich, Sihlquai/HB Linie 4",110.0,T,4,8.53760462520846,47.37987480303157,Berufsschulen
252,0.8328416463538466,14,6,80492,0.0,0.0,6.702325625,,6.702325625,125,"Zürich, Wollishoferplatz",0.0,252-6,"Zürich, Wollishoferplatz Linie 6",110.0,T,6,8.530160973388094,47.33844167246881,Entlisberg
189,1.7299441167741043,13,7,5224,0.2299518136597521,5.309951091251175,6.699302568203199,23.22513317963497,12.009253659454377,8964,"Zürich, Milchbuck",580.6058325493885,189-7,"Zürich, Milchbuck Linie 7",110.0,T,7,8.541762975424016,47.39778939873318,Irchel
94,2.341648692870037,28,3,80320,0.3219256035257761,6.878570796460177,6.680289469026549,28.973304317319847,13.558860265486723,14241,"Zürich, Central",437.3767383059418,94-3,"Zürich, Central Linie 3",110.0,T,3,8.543964002903373,47.37680975491613,Central
165,1.4049164496310247,13,7,5224,0.3761654190068129,7.419286744639375,6.649477563352827,37.99270731968811,14.068764307992204,8639,"Zürich, Rennweg",377.7426900584795,165-7,"Zürich, Rennweg Linie 7",110.0,T,7,8.53827276237968,47.37310410482159,MÃ¼nsterhof
257,0.411453837273123,14,6,106096,0.1276316455647636,5.739460334713596,6.6466986680469295,11.48684810082873,12.386159002760524,20311,"Zürich, Zoo",265.8164251207729,257-6,"Zürich, Zoo Linie 6",110.0,T,6,8.571556559418267,47.38157073678912,Zoo
